"Variable","Importance"
"SNORD103A",0
"SNORD103B",0.000353438055720214
"SNORD85",0
"NKAIN1",0
"SNRNP40",0
"ZCCHC17",0
"FABP3",0
"SERINC2",0
"TINAGL1",0
"HCRTR1",-0.000167457024303498
"PEF1",0
"COL16A1",0
"BAI2",-0.000113366923532898
"MIR4254",-0.000125222288085358
"SPOCD1",0
"PTP4A2",0
"KHDRBS1",0
"TMEM39B",-0.00024303497332543
"MIR5585",0
"KPNA6",0.000161529342027268
"TXLNA",0
"CCDC28B",-5.85358624777721e-05
"IQCC",0
"DCDC2B",3.70480142264373e-06
"TMEM234",0
"EIF3I",0
"MTMR9LP",0.000451244813278009
"FAM167B",0
"LCK",0
"HDAC1",0
"MARCKSL1",0
"TSSK3",0
"BSDC1",0
"FAM229A",0
"RN7SL122P",0
"ZBTB8B",0
"ZBTB8A",0
"ZBTB8OS",0.00021858328393598
"RBBP4",0
"SYNC",0
"KIAA1522",0
"YARS",0
"S100PBP",0
"FNDC5",0
"HPCA",0
"TMEM54",0.00018968583283936
"RNF19B",0
"FKSG48",0
"AK2",0.000459395376407824
"GADL1",0
"TRIM62",1.63011262596324e-05
"ZNF362",0.000157824540604624
"A3GALT2",0
"PHC2",0
"MIR3605",5.8535862477771e-05
"RN7SKP16",0
"ZSCAN20",0
"CSMD2",-6.4463544754001e-05
"HMGB4",0
"RNA5SP42",0
"C1orf94",0
"MIR552",0
"SMIM12",0
"GJB5",0
"GJB4",0.000311203319502075
"GJB3",0
"GJA4",0
"DLGAP3",0
"ZMYM6NB",0
"ZMYM6",0
"ZMYM1",0
"SFPQ",0
"ZMYM4",0
"RN7SL503P",0
"RNY5P1",0
"KIAA0319L",0.000576467101363367
"NCDN",0
"TFAP2E",-2.81564908120924e-05
"PSMB2",0
"C1orf216",0
"CLSPN",0
"AGO4",0
"AGO1",0
"AGO3",0
"TEKT2",0
"ADPRHL2",0
"COL8A2",0
"TRAPPC3",-0.000354919976289271
"MAP7D1",0
"RN7SL131P",0.000252667457024304
"THRAP3",0
"SH3D21",0
"EVA1B",-2.44516893894486e-05
"STK40",0
"LSM10",0
"OSCP1",0
"MRPS15",0
"CSF3R",0
"GRIK3",4.74214582098398e-05
"MIR4255",0
"RNA5SP43",0
"ZC3H12A",0
"MEAF6",0
"MIR5581",0
"SNIP1",0
"DNALI1",-5.70539419087135e-05
"GNL2",0
"RSPO1",0
"C1orf109",0
"CDCA8",0
"EPHA10",0
"MANEAL",4.29756965026673e-05
"YRDC",0
"C1orf122",0
"MTF1",0
"INPP5B",0
"SF3A3",0
"FHL3",-1.92649673977474e-05
"UTP11L",0
"POU3F1",0
"MIR3659",0
"RRAGC",0
"MYCBP",0
"GJA9",0
"RHBDL2",-3.40841730883235e-05
"AKIRIN1",0
"NDUFS5",0
"MACF1",0
"RNA5SP44",0
"KIAA0754",0
"BMP8A",0
"PABPC4",0
"SNORA55",2.66745702430349e-05
"HEYL",0
"HPCAL4",0
"NT5C1A",-2.88974510966211e-05
"PPIE",0
"BMP8B",0
"OXCT2",0
"TRIT1",0
"MYCL",0
"MFSD2A",0
"CAP1",0
